wals code,name,value,description,latitude,longitude,genus,family,area
abi,Abipón,1,No morphological case-marking,-29,-61,Abipon,Guaicuruan,Nominal Categories
abk,Abkhaz,2,2 cases,43.08333333,41,Northwest Caucasian,Northwest Caucasian,Nominal Categories
aco,Acoma,1,No morphological case-marking,34.91666667,-107.5833333,Keresan,Keresan,Nominal Categories
ain,Ainu,9,Exclusively borderline case-marking,43,143,Ainu,Ainu,Nominal Categories
ala,Alamblak,7,8-9 cases,-4.666666667,143.3333333,Sepik Hill,Sepik,Nominal Categories
alb,Albanian,4,4 cases,41,20,Albanian,Indo-European,Nominal Categories
ale,Aleut,2,2 cases,54,-166,Aleut,Eskimo-Aleut,Nominal Categories
ame,Amele,1,No morphological case-marking,-5.25,145.5833333,Mabuso,Trans-New Guinea,Nominal Categories
amh,Amharic,2,2 cases,10,38,Semitic,Afro-Asiatic,Nominal Categories
amu,Amuesha,9,Exclusively borderline case-marking,-10.5,-75.41666667,Yanesha',Arawakan,Nominal Categories
apu,Apurinã,9,Exclusively borderline case-marking,-9,-67,Purus,Arawakan,Nominal Categories
arb,Arabela,7,8-9 cases,-2,-75.16666667,Zaparoan,Zaparoan,Nominal Categories
aeg,Arabic (Egyptian),1,No morphological case-marking,30,31,Semitic,Afro-Asiatic,Nominal Categories
ana,Araona,5,5 cases,-12.33333333,-67.75,Tacanan,Pano-Tacanan,Nominal Categories
arp,Arapesh (Mountain),1,No morphological case-marking,-3.466666667,143.1666667,Kombio-Arapesh,Torricelli,Nominal Categories
arm,Armenian (Eastern),5,5 cases,40,45,Armenian,Indo-European,Nominal Categories
asm,Asmat,1,No morphological case-marking,-5.5,138.5,Asmat-Kamrau Bay,Asmat-Kamrau Bay,Nominal Categories
awp,Awa Pit,8,10 or more cases,1.5,-78.25,Barbacoan,Barbacoan,Nominal Categories
aym,Aymara (Central),6,6-7 cases,-17,-69,Aymaran,Aymaran,Nominal Categories
bag,Bagirmi,1,No morphological case-marking,11.66666667,16,Bongo-Bagirmi,Central Sudanic,Nominal Categories
bam,Bambara,1,No morphological case-marking,12.5,-7.5,Western Mande,Mande,Nominal Categories
brs,Barasano,2,2 cases,-0.1666666667,-70.66666667,Tucanoan,Tucanoan,Nominal Categories
bsq,Basque,8,10 or more cases,43,-3,Basque,Basque,Nominal Categories
bkr,Batak (Karo),1,No morphological case-marking,3.25,98.25,Northwest Sumatra-Barrier Islands,Austronesian,Nominal Categories
baw,Bawm,4,4 cases,22.5,92.25,Kuki-Chin,Sino-Tibetan,Nominal Categories
bej,Beja,2,2 cases,18,36,Beja,Afro-Asiatic,Nominal Categories
bec,Bengali (Chittagong),6,6-7 cases,22.33333333,91.83333333,Indic,Indo-European,Nominal Categories
bma,Berber (Middle Atlas),2,2 cases,33,-5,Berber,Afro-Asiatic,Nominal Categories
brh,Brahui,8,10 or more cases,28.5,67,Dravidian,Dravidian,Nominal Categories
bri,Bribri,9,Exclusively borderline case-marking,9.416666667,-83,Western Isthmic Chibchan,Chibchan,Nominal Categories
bul,Bulgarian,1,No morphological case-marking,42.5,25,Slavic,Indo-European,Nominal Categories
brm,Burmese,7,8-9 cases,21,96,Burmese-Lolo,Sino-Tibetan,Nominal Categories
bur,Burushaski,7,8-9 cases,36.5,74.5,Burushaski,Burushaski,Nominal Categories
