wals code,name,value,description,latitude,longitude,genus,family,area
abk,Abkhaz,2,Subject is expressed overtly,43.08333333,41,Northwest Caucasian,Northwest Caucasian,Complex Sentences
abu,Abun,2,Subject is expressed overtly,-0.5,132.5,Abun,Abun,Complex Sentences
ace,Acehnese,1,Subject is left implicit,5.5,95.5,Malayo-Sumbawan,Austronesian,Complex Sentences
aga,Agarabi,4,Desiderative verbal affix,-6.166666667,146,Gauwa,Trans-New Guinea,Complex Sentences
ain,Ainu,1,Subject is left implicit,43,143,Ainu,Ainu,Complex Sentences
akh,Akha,1,Subject is left implicit,21.83333333,99.83333333,Burmese-Lolo,Sino-Tibetan,Complex Sentences
all,Ala'ala,2,Subject is expressed overtly,-8.916666667,146.75,Oceanic,Austronesian,Complex Sentences
alb,Albanian,2,Subject is expressed overtly,41,20,Albanian,Indo-European,Complex Sentences
ale,Aleut,4,Desiderative verbal affix,54,-166,Aleut,Eskimo-Aleut,Complex Sentences
aly,Alyawarra,1,Subject is left implicit,-22.5,135,Central Pama-Nyungan,Pama-Nyungan,Complex Sentences
aml,Ambae (Lolovoli Northeast),3,Both construction types exist,-15.41666667,167.8833333,Oceanic,Austronesian,Complex Sentences
ame,Amele,2,Subject is expressed overtly,-5.25,145.5833333,Mabuso,Trans-New Guinea,Complex Sentences
ano,Anong,1,Subject is left implicit,27.33333333,98.75,Nungish,Sino-Tibetan,Complex Sentences
apj,Apache (Jicarilla),2,Subject is expressed overtly,36.58333333,-104,Athapaskan,Na-Dene,Complex Sentences
apu,Apurinã,4,Desiderative verbal affix,-9,-67,Purus,Arawakan,Complex Sentences
aeg,Arabic (Egyptian),2,Subject is expressed overtly,30,31,Semitic,Afro-Asiatic,Complex Sentences
ana,Araona,4,Desiderative verbal affix,-12.33333333,-67.75,Tacanan,Pano-Tacanan,Complex Sentences
amp,Arrernte (Mparntwe),1,Subject is left implicit,-24,136,Central Pama-Nyungan,Pama-Nyungan,Complex Sentences
ass,Assamese,1,Subject is left implicit,26,93,Indic,Indo-European,Complex Sentences
awp,Awa Pit,4,Desiderative verbal affix,1.5,-78.25,Barbacoan,Barbacoan,Complex Sentences
bab,Babungo,1,Subject is left implicit,6.116666667,10.41666667,Wide Grassfields,Niger-Congo,Complex Sentences
bag,Bagirmi,2,Subject is expressed overtly,11.66666667,16,Bongo-Bagirmi,Central Sudanic,Complex Sentences
bak,Baka (in Cameroon),1,Subject is left implicit,2.583333333,13.58333333,Ubangi,Niger-Congo,Complex Sentences
bvi,Bali-Vitu,1,Subject is left implicit,-4.9,149.1166667,Oceanic,Austronesian,Complex Sentences
bae,Baré,2,Subject is expressed overtly,1,-67,Japura-Colombia,Arawakan,Complex Sentences
baw,Bawm,1,Subject is left implicit,22.5,92.25,Kuki-Chin,Sino-Tibetan,Complex Sentences
ben,Bengali,1,Subject is left implicit,24,90,Indic,Indo-European,Complex Sentences
bma,Berber (Middle Atlas),2,Subject is expressed overtly,33,-5,Berber,Afro-Asiatic,Complex Sentences
bbw,Bininj Gun-Wok,2,Subject is expressed overtly,-12.5,133.75,Marne,Gunwinyguan,Complex Sentences
biu,Bisu,1,Subject is left implicit,19.75,100,Burmese-Lolo,Sino-Tibetan,Complex Sentences
bla,Blackfoot,2,Subject is expressed overtly,50,-112.6666667,Algonquian,Algic,Complex Sentences
boz,Bozo (Tigemaxo),1,Subject is left implicit,15,-4,Western Mande,Mande,Complex Sentences
bud,Buduma,2,Subject is expressed overtly,13.5,14.5,Biu-Mandara,Afro-Asiatic,Complex Sentences
bul,Bulgarian,2,Subject is expressed overtly,42.5,25,Slavic,Indo-European,Complex Sentences
brm,Burmese,1,Subject is left implicit,21,96,Burmese-Lolo,Sino-Tibetan,Complex Sentences
cnl,Canela,1,Subject is left implicit,-7,-45,Je Setentrional,Macro-Ge,Complex Sentences
cnt,Cantonese,1,Subject is left implicit,23,113,Chinese,Sino-Tibetan,Complex Sentences
cha,Chamorro,1,Subject is left implicit,13.45,144.75,Chamorro,Austronesian,Complex Sentences
chn,Chantyal,1,Subject is left implicit,28.58333333,83.41666667,Bodic,Sino-Tibetan,Complex Sentences
cic,Chichewa,1,Subject is left implicit,-14,34,Bantu,Niger-Congo,Complex Sentences
cch,Chocho,2,Subject is expressed overtly,17.66666667,-97.41666667,Popolocan,Oto-Manguean,Complex Sentences
chk,Chukchi,4,Desiderative verbal affix,67,-173,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Complex Sentences
cmn,Comanche,1,Subject is left implicit,33.5,-101.5,Northern Uto-Aztecan,Uto-Aztecan,Complex Sentences
cop,Coptic,1,Subject is left implicit,26,32,Egyptian-Coptic,Afro-Asiatic,Complex Sentences
dgb,Dagbani,2,Subject is expressed overtly,9.583333333,-0.5,Oti-Volta,Niger-Congo,Complex Sentences
dgr,Dagur,1,Subject is left implicit,48,124,Mongolic,Altaic,Complex Sentences
drg,Dargwa,1,Subject is left implicit,42.25,47.41666667,Dargwic,Nakh-Daghestanian,Complex Sentences
dha,Dhaasanac,1,Subject is left implicit,4.666666667,36.33333333,Lowland East Cushitic,Afro-Asiatic,Complex Sentences
dhb,Dharumbal,1,Subject is left implicit,-22.75,150.5,Northern Pama-Nyungan,Pama-Nyungan,Complex Sentences
dhi,Dhivehi,1,Subject is left implicit,4.166666667,73.5,Indic,Indo-European,Complex Sentences
