wals code,name,value,description,latitude,longitude,genus,family,area
xoo,!Xóõ,2,VO,-24,21.5,Tu,Tu,Word Order
ani,//Ani,3,No dominant order,-18.91666667,21.91666667,Khoe-Kwadi,Khoe-Kwadi,Word Order
xam,/Xam,2,VO,-31,21,Tu,Tu,Word Order
huc,=|Hoan,2,VO,-25.5,25,=|Hoan,Kxa,Word Order
aar,Aari,1,OV,6,36.58333333,South Omotic,Afro-Asiatic,Word Order
aba,Abau,1,OV,-4,141.25,Abau,Sepik,Word Order
abi,Abipón,2,VO,-29,-61,Abipon,Guaicuruan,Word Order
abk,Abkhaz,1,OV,43.08333333,41,Northwest Caucasian,Northwest Caucasian,Word Order
abv,Abui,1,OV,-8.25,124.6666667,Alor-Pantar,Greater West Bomberai,Word Order
abu,Abun,2,VO,-0.5,132.5,Abun,Abun,Word Order
ace,Acehnese,3,No dominant order,5.5,95.5,Malayo-Sumbawan,Austronesian,Word Order
acg,Achagua,2,VO,4.416666667,-72.25,Japura-Colombia,Arawakan,Word Order
acn,Achang,1,OV,25,98.5,Burmese-Lolo,Sino-Tibetan,Word Order
acl,Acholi,2,VO,3,32.66666667,Western Nilotic,Eastern Sudanic,Word Order
acu,Achuar,1,OV,-2.66667,-76,Jivaroan,Jivaroan,Word Order
acm,Achumawi,2,VO,41.5,-121,Achumawi,Hokan,Word Order
aco,Acoma,3,No dominant order,34.91666667,-107.5833333,Keresan,Keresan,Word Order
adg,Adang,1,OV,-8.2,124,Alor-Pantar,Greater West Bomberai,Word Order
adi,Adioukrou,2,VO,5.416666667,-4.583333333,Agneby,Niger-Congo,Word Order
ady,Adyghe (Abzakh),1,OV,45.23333333,40.58333333,Northwest Caucasian,Northwest Caucasian,Word Order
adn,Adynyamathanha,3,No dominant order,-30.5,139.5,Central Pama-Nyungan,Pama-Nyungan,Word Order
adz,Adzera,2,VO,-6.25,146.25,Oceanic,Austronesian,Word Order
awi,Aekyom,1,OV,-5.75,141.4166667,Elevala,Kamula-Elevala,Word Order
aga,Agarabi,1,OV,-6.166666667,146,Gauwa,Trans-New Guinea,Word Order
agh,Aghem,2,VO,6.666666667,10,Wide Grassfields,Niger-Congo,Word Order
agc,Agta (Central),2,VO,17.96666667,121.8333333,Greater Central Philippine,Austronesian,Word Order
agd,Agta (Dupaningan),2,VO,18,122.0833333,Greater Central Philippine,Austronesian,Word Order
ain,Ainu,1,OV,43,143,Ainu,Ainu,Word Order
aja,Aja,2,VO,7.333333333,25.66666667,Kresh,Central Sudanic,Word Order
ajg,Ajagbe,3,No dominant order,7,1.75,Gbe,Niger-Congo,Word Order
akn,Akan,2,VO,6.5,-1.25,Tano,Niger-Congo,Word Order
akh,Akha,1,OV,21.83333333,99.83333333,Burmese-Lolo,Sino-Tibetan,Word Order
ala,Alamblak,1,OV,-4.666666667,143.3333333,Sepik Hill,Sepik,Word Order
alw,Alawa,3,No dominant order,-15.16666667,134.25,Mara,Mangarrayi-Maran,Word Order
alb,Albanian,2,VO,41,20,Albanian,Indo-European,Word Order
ale,Aleut,1,OV,54,-166,Aleut,Eskimo-Aleut,Word Order
als,Alsea,2,VO,44.66666667,-123.9166667,Alsea,Oregon Coast,Word Order
aln,Alune,2,VO,-3,128.3333333,Central Malayo-Polynesian,Austronesian,Word Order
aly,Alyawarra,1,OV,-22.5,135,Central Pama-Nyungan,Pama-Nyungan,Word Order
amc,Amahuaca,1,OV,-10.5,-72.5,Panoan,Pano-Tacanan,Word Order
amn,Amanab,1,OV,-3.583333333,141.25,Border,Border,Word Order
ama,Amara,2,VO,-5.666666667,148.5,Oceanic,Austronesian,Word Order
aml,Ambae (Lolovoli Northeast),2,VO,-15.41666667,167.8833333,Oceanic,Austronesian,Word Order
amq,Ambai,2,VO,-1.833333333,136.5,South Halmahera - West New Guinea,Austronesian,Word Order
amb,Ambulas,1,OV,-3.833333333,143,Ndu,Sepik,Word Order
amt,Amdo (Themchen),1,OV,38,98,Bodic,Sino-Tibetan,Word Order
ame,Amele,1,OV,-5.25,145.5833333,Mabuso,Trans-New Guinea,Word Order
amh,Amharic,1,OV,10,38,Semitic,Afro-Asiatic,Word Order
ami,Amis,2,VO,23.33333333,121.3333333,East Formosan,Austronesian,Word Order
amo,Amo,2,VO,10.33333333,8.666666667,Central Kainji,Niger-Congo,Word Order
amx,Anamuxra,1,OV,-4.666666667,145,Josephstaal,Trans-New Guinea,Word Order
anj,Anejom,2,VO,-20.2,169.8,Oceanic,Austronesian,Word Order
agm,Angami,1,OV,25.66666667,94.5,Angami-Pochuri,Sino-Tibetan,Word Order
anc,Angas,2,VO,9.5,9.5,West Chadic,Afro-Asiatic,Word Order
ang,Anggor,1,OV,-3.75,141.1666667,Senagi,Senagi,Word Order
agt,Anguthimri,1,OV,-12.33333333,141.8333333,Northern Pama-Nyungan,Pama-Nyungan,Word Order
ann,Anindilyakwa,2,VO,-14,136.5,Anindilyakwa,Gunwinyguan,Word Order
ano,Anong,1,OV,27.33333333,98.75,Nungish,Sino-Tibetan,Word Order
anu,Anufo,2,VO,10.08333333,0.25,Tano,Niger-Congo,Word Order
ayi,Anyi,2,VO,7,-3.5,Tano,Niger-Congo,Word Order
any,Anywa,3,No dominant order,8,33.5,Western Nilotic,Eastern Sudanic,Word Order
ane,Anêm,2,VO,-5.583333333,149.0833333,Anêm,Anêm,Word Order
ao,Ao,1,OV,26.58333333,94.66666667,Central Naga,Sino-Tibetan,Word Order
apw,Apache (Western),1,OV,33.75,-110,Athapaskan,Na-Dene,Word Order
apl,Apalaí,1,OV,0,-54,Cariban,Cariban,Word Order
apt,Apatani,1,OV,27.5,93.75,Tani,Sino-Tibetan,Word Order
api,Apinayé,1,OV,-5.5,-48,Je Setentrional,Macro-Ge,Word Order
apu,Apurinã,3,No dominant order,-9,-67,Purus,Arawakan,Word Order
abn,Arabana,1,OV,-28.25,136.25,Central Pama-Nyungan,Pama-Nyungan,Word Order
aeg,Arabic (Egyptian),2,VO,30,31,Semitic,Afro-Asiatic,Word Order
arg,Arabic (Gulf),2,VO,26,49,Semitic,Afro-Asiatic,Word Order
arq,Arabic (Iraqi),2,VO,33,44,Semitic,Afro-Asiatic,Word Order
arj,Arabic (Kuwaiti),2,VO,29.5,47.5,Semitic,Afro-Asiatic,Word Order
ams,Arabic (Modern Standard),2,VO,25,42,Semitic,Afro-Asiatic,Word Order
amr,Arabic (Moroccan),2,VO,34,-6,Semitic,Afro-Asiatic,Word Order
asy,Arabic (Syrian),2,VO,34,38,Semitic,Afro-Asiatic,Word Order
ana,Araona,1,OV,-12.33333333,-67.75,Tacanan,Pano-Tacanan,Word Order
aab,Arapesh (Abu),2,VO,-3.45,142.95,Kombio-Arapesh,Torricelli,Word Order
arp,Arapesh (Mountain),2,VO,-3.466666667,143.1666667,Kombio-Arapesh,Torricelli,Word Order
abo,Arbore,1,OV,5,36.75,Lowland East Cushitic,Afro-Asiatic,Word Order
arc,Archi,1,OV,42,46.83333333,Lezgic,Nakh-Daghestanian,Word Order
ari,Aribwatsa,2,VO,-6.716666667,147,Oceanic,Austronesian,Word Order
arm,Armenian (Eastern),3,No dominant order,40,45,Armenian,Indo-European,Word Order
arw,Armenian (Western),1,OV,38.5,43.5,Armenian,Indo-European,Word Order
alk,Arop-Lokep,2,VO,-5.383333333,147.05,Oceanic,Austronesian,Word Order
aro,Arosi,2,VO,-10.25,161.3333333,Oceanic,Austronesian,Word Order
amp,Arrernte (Mparntwe),1,OV,-24,136,Central Pama-Nyungan,Pama-Nyungan,Word Order
asm,Asmat,1,OV,-5.5,138.5,Asmat-Kamrau Bay,Asmat-Kamrau Bay,Word Order
ass,Assamese,1,OV,26,93,Indic,Indo-European,Word Order
asu,Asuriní,1,OV,-3.5,-49.5,Maweti-Guarani,Tupian,Word Order
atm,Atacameño,1,OV,-23,-69,Kunza,Kunza,Word Order
atk,Atakapa,1,OV,30,-93.5,Atakapa,Atakapa,Word Order
ata,Atayal,2,VO,24.5,121.3333333,Atayalic,Austronesian,Word Order
ath,Athpare,1,OV,27,87.33333333,Himalayish,Sino-Tibetan,Word Order
au,Au,2,VO,-3.583333333,142.0833333,Central Wapei,Torricelli,Word Order
ava,Avar,1,OV,42.5,46.5,Avar-Andic-Tsezic,Nakh-Daghestanian,Word Order
avk,Avikam,2,VO,5.166666667,-5.5,Avikam-Alladian,Niger-Congo,Word Order
avo,Avokaya,3,No dominant order,4.666666667,30,Moru-Ma'di,Central Sudanic,Word Order
awa,Awa,1,OV,-6.666666667,145.75,Gauwa,Trans-New Guinea,Word Order
awp,Awa Pit,1,OV,1.5,-78.25,Barbacoan,Barbacoan,Word Order
awt,Awtuw,1,OV,-3.583333333,142,Ram,Sepik,Word Order
awy,Awyi,1,OV,-2.916666667,140.5833333,Border,Border,Word Order
ayw,Ayiwo,2,VO,-10.33333333,166.25,Oceanic,Austronesian,Word Order
aym,Aymara (Central),1,OV,-17,-69,Aymaran,Aymaran,Word Order
ayo,Ayomán,2,VO,11,-69,Jirajaran,Jirajaran,Word Order
ayr,Ayoreo,2,VO,-20.25,-59.25,Zamucoan,Zamucoan,Word Order
azi,Azari (Iranian),1,OV,37.5,47,Turkic,Altaic,Word Order
aze,Azerbaijani,1,OV,40.5,48.5,Turkic,Altaic,Word Order
bbl,Babole,2,VO,1.083333333,17.25,Bantu,Niger-Congo,Word Order
bab,Babungo,2,VO,6.116666667,10.41666667,Wide Grassfields,Niger-Congo,Word Order
bac,Bachamal,3,No dominant order,-13.16666667,130.1666667,Wandjiginy,Wandjiginy,Word Order
bdm,Badimaya,1,OV,-27.66666667,118,Western Pama-Nyungan,Pama-Nyungan,Word Order
baf,Bafut,2,VO,6.25,9.916666667,Wide Grassfields,Niger-Congo,Word Order
bgs,Baga Sitemu,2,VO,10.5,-14.5,Northern Mel,Niger-Congo,Word Order
bag,Bagirmi,2,VO,11.66666667,16,Bongo-Bagirmi,Central Sudanic,Word Order
bgr,Bagiro,2,VO,4.333333333,20.58333333,Bongo-Bagirmi,Central Sudanic,Word Order
bdw,Baham,1,OV,-3.166666667,132.6666667,West Bomberai,Greater West Bomberai,Word Order
bai,Bai,2,VO,26,100,Macro-Bai,Sino-Tibetan,Word Order
baj,Bajau (Sama),2,VO,-4.333333333,123,Sama-Bajaw,Austronesian,Word Order
bwc,Bajau (West Coast),2,VO,6.333333333,116.3333333,Sama-Bajaw,Austronesian,Word Order
bak,Baka (in Cameroon),2,VO,2.583333333,13.58333333,Ubangi,Niger-Congo,Word Order
bka,Baka (in South Sudan),2,VO,4.833333333,29.25,Bongo-Bagirmi,Central Sudanic,Word Order
bku,Bakueri,2,VO,4.25,9.25,Bantu,Niger-Congo,Word Order
blg,Balangao,2,VO,17.16666667,121.1666667,Northern Luzon,Austronesian,Word Order
blz,Balanta,2,VO,12.25,-15.33333333,Balanta,Niger-Congo,Word Order
bvi,Bali-Vitu,2,VO,-4.9,149.1166667,Oceanic,Austronesian,Word Order
blt,Balti,1,OV,35,76,Bodic,Sino-Tibetan,Word Order
bam,Bambara,1,OV,12.5,-7.5,Western Mande,Mande,Word Order
