wals code,name,value,description,latitude,longitude,genus,family,area
xoo,!Xóõ,2,Moderately complex,-24,21.5,Tu,Tu,Phonology
ani,//Ani,2,Moderately complex,-18.91666667,21.91666667,Khoe-Kwadi,Khoe-Kwadi,Phonology
abi,Abipón,3,Complex,-29,-61,Abipon,Guaicuruan,Phonology
abk,Abkhaz,3,Complex,43.08333333,41,Northwest Caucasian,Northwest Caucasian,Phonology
ach,Aché,1,Simple,-25.25,-55.16666667,Maweti-Guarani,Tupian,Phonology
aco,Acoma,2,Moderately complex,34.91666667,-107.5833333,Keresan,Keresan,Phonology
agh,Aghem,2,Moderately complex,6.666666667,10,Wide Grassfields,Niger-Congo,Phonology
aht,Ahtna,3,Complex,62,-145,Athapaskan,Na-Dene,Phonology
aik,Aikaná,2,Moderately complex,-12.66666667,-60.66666667,Aikaná,Aikaná,Phonology
ain,Ainu,2,Moderately complex,43,143,Ainu,Ainu,Phonology
aiz,Aizi,3,Complex,5.25,-4.5,Kru,Niger-Congo,Phonology
akn,Akan,2,Moderately complex,6.5,-1.25,Tano,Niger-Congo,Phonology
akw,Akawaio,2,Moderately complex,6,-59.5,Cariban,Cariban,Phonology
ala,Alamblak,3,Complex,-4.666666667,143.3333333,Sepik Hill,Sepik,Phonology
alw,Alawa,3,Complex,-15.16666667,134.25,Mara,Mangarrayi-Maran,Phonology
alb,Albanian,3,Complex,41,20,Albanian,Indo-European,Phonology
aea,Aleut (Eastern),3,Complex,54.75,-164,Aleut,Eskimo-Aleut,Phonology
ald,Alladian,2,Moderately complex,5.166666667,-4.333333333,Avikam-Alladian,Niger-Congo,Phonology
ame,Amele,2,Moderately complex,-5.25,145.5833333,Mabuso,Trans-New Guinea,Phonology
amh,Amharic,2,Moderately complex,10,38,Semitic,Afro-Asiatic,Phonology
amo,Amo,2,Moderately complex,10.33333333,8.666666667,Central Kainji,Niger-Congo,Phonology
amu,Amuesha,2,Moderately complex,-10.5,-75.41666667,Yanesha',Arawakan,Phonology
amz,Amuzgo,3,Complex,16.83333333,-98,Amuzgoan,Oto-Manguean,Phonology
adk,Andoke,1,Simple,-0.6666666667,-72,Andoke,Andoke,Phonology
ant,Angaataha,2,Moderately complex,-7.216666667,146.25,Angaataha,Trans-New Guinea,Phonology
anc,Angas,3,Complex,9.5,9.5,West Chadic,Afro-Asiatic,Phonology
ao,Ao,2,Moderately complex,26.58333333,94.66666667,Central Naga,Sino-Tibetan,Phonology
apu,Apurinã,1,Simple,-9,-67,Purus,Arawakan,Phonology
arb,Arabela,2,Moderately complex,-2,-75.16666667,Zaparoan,Zaparoan,Phonology
aeg,Arabic (Egyptian),3,Complex,30,31,Semitic,Afro-Asiatic,Phonology
ana,Araona,1,Simple,-12.33333333,-67.75,Tacanan,Pano-Tacanan,Phonology
arp,Arapesh (Mountain),2,Moderately complex,-3.466666667,143.1666667,Kombio-Arapesh,Torricelli,Phonology
arc,Archi,3,Complex,42,46.83333333,Lezgic,Nakh-Daghestanian,Phonology
amp,Arrernte (Mparntwe),2,Moderately complex,-24,136,Central Pama-Nyungan,Pama-Nyungan,Phonology
asm,Asmat,2,Moderately complex,-5.5,138.5,Asmat-Kamrau Bay,Asmat-Kamrau Bay,Phonology
ava,Avar,3,Complex,42.5,46.5,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
awp,Awa Pit,3,Complex,1.5,-78.25,Barbacoan,Barbacoan,Phonology
awn,Awngi,2,Moderately complex,10.83333333,36.66666667,Central Cushitic,Afro-Asiatic,Phonology
aym,Aymara (Central),2,Moderately complex,-17,-69,Aymaran,Aymaran,Phonology
aze,Azerbaijani,2,Moderately complex,40.5,48.5,Turkic,Altaic,Phonology
bag,Bagirmi,2,Moderately complex,11.66666667,16,Bongo-Bagirmi,Central Sudanic,Phonology
bai,Bai,2,Moderately complex,26,100,Macro-Bai,Sino-Tibetan,Phonology
baj,Bajau (Sama),2,Moderately complex,-4.333333333,123,Sama-Bajaw,Austronesian,Phonology
